F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,segment_id,file_id
33.14954,0.1364759,29.79804,31.22468,38.53094,8.732901,111.5349,148.9046,25.25678,24.69555,0.3266733,0.8316138,0.03379202,0.2852736,0.6014123,0.5676203,6.544345,4.883903,5.433007,3.844689,0.2105746,1.085901,31.62863,0.5698502,20.96475,0.6306521,6.736352,2.043283,-2.443359,-7.410287,0.02793876,1.264386,1.238221,0.7817426,9.201674,0.2905239,8.711577,1.21965,44.71106,0.376041,753.6821,0.2986152,1402.076,0.1537327,-100.1825,-0.8341634,1877.605,0.1271996,1232.499,0.2404658,-113.0428,-0.6261776,2996.141,0.07813638,1130.405,0.254313,-115.8778,-0.5886816,-31.07875,-0.2706706,45.61089,0.2378122,0.03601595,1.076445,-0.03301059,-0.6824282,0.3029979,0.7396798,42.60337,0.2910973,27.08491,0.3954658,8.527301,1.928784,-4.586749,-4.594811,-11.03171,19.35405,0.03624544,0.002723057,0.07854137,3.157895,2.771855,0.2007692,0.1360691,0.1508333,0.3829155,-22.67209,020_2025.03.11_segment_0203,020_2025.03.11
32.14597,0.1811093,29.70923,31.37204,35.23116,5.521929,413.9547,574.0137,99.66673,113.1304,0.3721985,0.6048898,0.1583723,0.3431225,0.5676712,0.409299,4.708844,2.189378,4.036287,2.195308,0.27751,0.8100138,31.0821,0.6724949,28.06414,0.6416299,17.25064,0.7592026,1.38994,10.37912,0.04557036,1.457895,1.307829,0.6907226,7.190802,0.5079958,10.75378,0.8799775,44.41195,0.3340535,665.7217,0.3045515,1402.481,0.2012469,-105.4651,-0.8115151,1880.319,0.1077223,1246.602,0.2459562,-117.6604,-0.5982938,2932.158,0.08002454,1154.669,0.2056852,-117.0759,-0.6091373,-32.3698,-0.3726023,42.66743,0.3267303,0.04106032,0.516959,-0.03227788,-0.6378649,0.370664,0.5651384,39.6899,0.3941059,32.14628,0.3141496,20.08572,0.6277824,-2.386091,-5.832402,-16.19884,25.65307,0.03382565,-0.00654904,0.1672012,4.328018,3.225807,0.1635714,0.1018126,0.1353846,0.1154,-23.0654,020_2025.03.11_segment_0029,020_2025.03.11
31.75039,0.09412167,30.02052,31.54272,34.34773,4.327211,89.775,97.25722,29.95481,35.25845,0.4255995,0.5623489,0.1644316,0.4582428,0.6246286,0.460197,7.083269,3.209557,5.877474,3.439259,0.28693,0.7324712,37.54334,0.4491861,26.11162,0.532688,7.784517,1.861699,-5.601857,-1.958387,0.02639892,1.147916,1.35489,0.8866706,7.960063,0.3332327,5.805313,1.175078,42.84377,0.3460618,701.2155,0.2598363,1443.741,0.1576574,-71.56457,-1.070317,1871.202,0.1176277,1261.952,0.230477,-89.08226,-0.724567,2971.437,0.07150782,1123.369,0.2573801,-92.2706,-0.6765912,-27.68306,-0.3252534,42.38593,0.2816793,0.04255211,0.4748748,-0.03431167,-0.468067,0.3422191,0.5701024,42.27756,0.3519025,28.35903,0.3965085,9.719548,1.456483,-6.846152,-1.633297,-16.51188,27.94963,0.03558159,-0.009403891,0.142767,5.458515,3.318584,0.2086667,0.1048724,0.09,0.1466856,-22.55921,020_2025.03.11_segment_0001,020_2025.03.11
32.87387,0.1740116,30.17163,32.13413,35.11216,4.940525,299.4422,247.3695,1423.264,1979.829,0.4332444,0.5628552,0.1751398,0.4215696,0.6542048,0.4790651,6.576247,2.888375,5.231466,2.538027,0.2580975,0.7772704,31.08494,0.6710562,25.57595,0.6796595,11.14023,1.380363,2.346096,5.996271,0.02400012,0.9422644,1.455192,0.7216076,8.281993,0.4038278,8.443568,1.362696,40.4139,0.433522,703.5504,0.3005234,1398.714,0.1865182,-76.22078,-1.033652,1825.381,0.1289369,1230.561,0.2502644,-88.20378,-0.7513292,2941.325,0.08645295,1122.21,0.3934884,-91.87883,-0.6968285,-25.29899,-0.4330167,37.71453,0.3764348,0.04230643,0.5882154,-0.02470256,-0.6902352,0.3087151,0.6202079,36.63902,0.5040956,28.40316,0.521552,9.114916,1.737644,0.6359589,22.83527,-11.74388,21.35089,0.03671392,-0.006528448,0.1479748,4.584527,3.488372,0.1958333,0.1980934,0.081,0.07313686,-22.8457,020_2025.03.11_segment_0015,020_2025.03.11
28.40892,0.175197,19.59295,30.49747,31.91532,12.32236,161.1429,150.5974,-61.70697,62.39648,0.2821226,0.8206651,0.06811239,0.1834493,0.521892,0.4537796,7.285502,5.796212,5.306044,4.798684,0.2252128,1.10585,33.35328,0.5199919,13.66629,1.435674,4.453048,3.153016,0.07646479,197.4156,0.0336526,1.67491,1.171075,0.8907928,6.884102,0.4220769,4.821399,1.391675,47.26325,0.2318209,661.9626,0.2367354,1453.474,0.1792272,-147.7326,-0.5536442,1857.277,0.1262285,1257.726,0.25703,-154.2904,-0.4540136,2924.914,0.0911876,1205.101,0.2107777,-155.7946,-0.4350359,-30.24051,-0.277283,41.35183,0.2571867,0.03950655,0.4682417,-0.03871053,-0.5133557,0.3468833,0.6920587,45.66766,0.2437771,28.88498,0.3620311,11.39489,1.404603,-1.689764,-7.989124,-12.97263,25.87281,0.03180927,-0.001787642,0.1779748,4.651163,1.570681,0.1766667,0.08137704,0.4383333,0.6519564,-25.44166,020_2025.03.11_segment_0149,020_2025.03.11
29.28725,0.0970974,28.78217,29.52335,30.94638,2.164211,77.19098,63.33046,3.428158,3.403684,0.2923872,0.8396851,0.05657372,0.2079118,0.4957612,0.4391875,5.556732,3.963133,4.12918,3.444359,0.1997679,1.175443,28.84317,0.6999644,22.49571,0.6254299,8.126219,2.180606,5.021536,2.267306,0.01464114,0.8209153,1.195767,1.020482,8.345757,0.294317,4.754454,0.6666886,46.21276,0.2511268,696.5168,0.2883186,1420.926,0.1316913,-142.0365,-0.5784065,1887.924,0.1159516,1238.366,0.2154711,-149.3403,-0.4698032,2991.797,0.08690802,1220.526,0.2155809,-151.1725,-0.447521,-30.68969,-0.3344308,45.21735,0.2673808,0.02664244,0.7554291,-0.03221884,-0.5712893,0.3094804,0.7199556,44.94551,0.2842308,29.60016,0.3806873,12.47718,1.156281,4.435631,2.539828,-15.41108,23.45858,0.03509957,-0.007255159,0.1376519,3.603604,1.594533,0.2028572,0.1829687,0.47,0.5310681,-24.65525,020_2025.03.11_segment_0175,020_2025.03.11
31.21869,0.1143076,29.28284,30.8251,34.19415,4.911301,248.9211,124.5829,317.364,588.4283,0.3466683,0.6600628,0.1226959,0.2970518,0.5617101,0.4390141,5.538148,3.728669,4.592865,2.604875,0.28175,0.8832126,31.4652,0.6470109,29.45292,0.4554653,12.20577,1.170091,8.816588,1.62042,0.04217277,1.130798,1.559678,0.7447967,6.9947,0.4565697,9.514239,0.9396887,38.00573,0.2722512,713.8792,0.3641384,1406.163,0.1373506,-131.5298,-0.6173884,1875.38,0.1431652,1239.139,0.296397,-136.6523,-0.5310678,2937.308,0.09882578,1199.947,0.2452251,-138.0002,-0.5149941,-29.97044,-0.3173615,39.53117,0.297933,0.02681494,1.286906,-0.02678283,-0.7134375,0.3061411,0.9003201,37.12667,0.3716621,30.62524,0.4017552,16.92073,0.7107175,7.316915,1.984175,-22.75965,31.87094,0.02258309,-0.01934664,0.2701399,4.889976,3.217822,0.1176923,0.1393476,0.1715385,0.1482122,-23.7199,020_2025.03.11_segment_0161,020_2025.03.11
30.82239,0.1078569,30.84784,31.69901,32.32019,1.472351,44.39936,19.40528,32.79577,37.7936,0.3441773,0.7474959,0.1185085,0.2876891,0.5399511,0.4214426,5.999989,2.848776,5.176725,2.568804,0.2703518,0.9697482,28.08212,0.6947234,22.19523,1.000025,11.77669,1.350173,4.930238,2.46804,0.03982696,1.397308,1.647214,0.613927,6.766166,0.3742767,8.844041,0.7650847,44.32262,0.2791455,701.7735,0.2825212,1458.027,0.2171964,-116.7192,-0.7239684,1898.938,0.109516,1186.822,0.2179184,-127.0289,-0.5729695,2987.173,0.0821102,1174.517,0.205403,-129.2526,-0.5483618,-31.66064,-0.267968,42.0586,0.2772396,0.03264473,0.4898373,-0.03610279,-0.4894087,0.425851,0.5953413,40.02332,0.3246864,33.73279,0.2773321,15.98866,0.9646863,4.287648,2.812975,-9.485241,18.31793,0.03830914,-0.008564199,0.1375033,3.793104,3.157895,0.1422222,0.1124256,0.1725,0.1922076,-23.84387,020_2025.03.11_segment_0160,020_2025.03.11
32.08388,0.09988336,30.65203,32.09114,34.06649,3.414465,32.41951,27.55351,32.73037,24.0041,0.4728262,0.6867318,0.1636311,0.3990986,0.8074737,0.6438427,7.460334,3.527,4.54401,2.902283,0.3375677,0.7664598,29.97999,0.7262027,28.06162,0.5291219,10.08723,1.628998,3.034823,3.99652,0.02554053,1.148341,1.41112,0.8560042,8.440615,0.3715803,6.838945,0.8235373,41.73937,0.2659656,651.3316,0.2748983,1392.845,0.1601518,-118.3383,-0.7296832,1816.271,0.1137035,1199.885,0.2863127,-126.902,-0.5992643,2894.263,0.06634156,1124.036,0.25109,-130.3211,-0.5550268,-27.08092,-0.3444087,39.11077,0.3092963,0.04680502,0.3767046,-0.03052962,-0.560762,0.3807015,0.6432488,38.40663,0.3456472,27.10433,0.5255912,8.413646,1.377985,2.54679,5.258155,-19.30124,28.06936,0.03772628,-0.01937727,0.2948861,4.279279,3.189066,0.1342857,0.09424242,0.1841667,0.1398486,-22.31698,020_2025.03.11_segment_0174,020_2025.03.11
30.24101,0.1097882,28.54142,30.30013,31.90952,3.368097,295.9131,58.8538,21.03496,17.20499,0.2630811,0.9093615,0.04432374,0.1208761,0.5263315,0.4820078,3.889919,3.101187,2.970935,2.096928,0.1326186,1.330848,25.23123,0.7179903,18.50863,1.043815,11.87994,1.395838,3.284224,3.217816,0.03412737,1.942658,1.269699,0.8599349,8.784718,0.2249373,6.239484,1.003209,40.34317,0.3158162,661.1622,0.2763854,1432.768,0.1224331,-126.7255,-0.6893302,1909.301,0.103922,1217.565,0.2199343,-136.3269,-0.535375,2958.198,0.08346701,1205.482,0.2537002,-135.54,-0.5444359,-31.56202,-0.3065211,42.38136,0.2670045,0.03014162,0.6933262,-0.02961735,-0.5724731,0.2801303,0.6282378,40.91204,0.2684553,30.81186,0.3500345,23.01352,0.6470412,2.210452,5.381026,-7.334306,16.46464,0.01507101,0.009396882,0.02522203,3.018868,1.153846,0.3633333,0.2428077,0.36,0.3033974,-23.90041,020_2025.03.11_segment_0148,020_2025.03.11
